tender_id;ikn;adi;idare_adi;il;ihale_turu;karar;model_karari;model_skoru;kaynak;set
b9838dcb0bbf9b5292f6ce04e4e66852bfb2af456922b9eb78fa0eb5c9424088;2026/1076507;Laboratuvar Hizmeti Alımı (Sonuç Puan Karşılığı);ISPARTA İL SAĞLIK MÜDÜRLÜĞÜ;ISPARTA;Hizmet;uygun_degil;belirsiz;0.4676;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
fdc8fdd628bfd57fd2505a35cc704db0b075c86178db91c776ab2b6e905e81e3;2026/1218864;4 KALEM ALİ HİKMET PAŞA MAHALLESİ ZAHİRE PAZARI ÇATI YENİLEME İŞİNDE KULLANILMAK ÜZERE SANDVİÇ PANEL VE VİDALARIN ALIM İŞİ;KARESİ BELEDİYE BAŞKANLIĞI FEN İŞLERİ MÜDÜRLÜĞÜ;BALIKESİR;Mal;uygun_degil;belirsiz;0.4251;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
d761ebd93ae952ea021a0c6dd114ec610afd8c15a154f8015c25cacbb1c32d4d;2026/1215694;4 KISIM 11 KALEM 1'İNCİ KISIM ASFALT KIRMATAŞ MALZEMESİ ALIMI, 2'NCİ KISIM BETON KIRMATAŞ MALZEMESİ ALIMI, 3'ÜNCÜ KISIM DÖKME PORTLAND ÇİMENTO ALIMI VE 4'ÜNCÜ KISIM NAYLON MALZEMESİ ALIMI;3'ÜNCÜ HAVA İSTİHKAM İNŞAAT TABUR KOMUTANLIĞI;ANKARA;Mal;uygun_degil;belirsiz;0.47;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
104f59b910ef9cd12748a0846d19cc223be4f1feb407d686c59f5470023f8af9;2026/1273770;Edirne Şehirlerarası Otobüs Terminalinin Bakım ve Onarım İşlemlerinin Yapılması;EDİRNE BELEDİYE BAŞKANLIĞI FEN İŞLERİ MÜDÜRLÜĞÜ;EDİRNE;Yapım;uygun_degil;uygun;0.5146;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
55b711c1f9c3ffcc1db288718aa99ab10877b21fe51f37d4dce69dc73fef1535;2026/1244617;160 TON KÖMÜR VE MICROSOFT 365 LİSANS PAKETİ ALIMI;AFYON KOCATEPE ÜNİVERSİTESİ REKTÖRLÜĞÜ İDARİ VE MALİ İŞLER DAİRE BAŞKANLIĞI;AFYONKARAHİSAR;Mal;uygun_degil;belirsiz;0.4682;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
5cac9ca633c90a258db8191a1ab1712dcd4d13c7d0c41cbf7079d88c6a9557ee;2026/1212518;Bitlis İli Hizan İlçesi  Merkez ve Merkeze Bağlı Mahalle Köy ve Köy Altı Yerleşim Birimlerindeki 286 Ortaöğretim Öğrencilerinin 2 Taşıma Merkezi Okula 19 Hat          ( Araç) İle 181 İş Günü Taşınması İşi;BİTLİS İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ HİZAN İLÇE MİLLİ EĞİTİM MÜDÜRLÜĞÜ;BİTLİS;Hizmet;uygun_degil;belirsiz;0.4377;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
3e0d38e7bc30df75728d9ecf5444082f08832f8c06a4cf57d96d38cb293261ac;2026/789813;Beykoz (İstanbul) Belediyesi Muhtelif Sokaklarda Cephe Sağlıklaştırma Yapım İşi;İLLER BANKASI ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ YATIRIM KOORDİNASYON DAİRESİ BAŞKANLIĞI;ANKARA;Yapım;uygun_degil;belirsiz;0.4371;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
4d16f081a48e9c74215b90e0bb6ffc3f1109201ba5820497453b92790d821f75;2026/155632;Fatih Stadı Alanı Tasarımı Fikir Projesi Yarışması;KEÇİÖREN BELEDİYE BAŞKANLIĞI - ETÜT PROJE MÜDÜRLÜĞÜ;ANKARA;Hizmet;uygun_degil;belirsiz;0.39;HARIC: ilanin kapsam metni bos, karar sadece basliktan verilebiliyor;haric
60343cb92e572340f574cd03f82fcde2b9dc25aa8be252a1ee13f55b0283554a;2026/64235;SİBER GÜVENLİK ÇÖZÜMLERİ VE SIZMA TESTİ HİZMETİ ALIMI;İZMİR İNOVASYON VE TEKNOLOJİ ANONİM ŞİRKETİ;İZMİR;Hizmet;uygun_degil;;;kacirma-seti-v1'den tasindi 30.07.2026: ISBAK'in bagimsiz siber guvenlik (SOC/CTI/sizma testi) isi yok - Kerem dogruladi;yanlis_alarm
11698726bc95ea90b8af2c1ddc802ea55bcc95f99a961d00c6a9f5ba237b9bee;2026/56880;LOG Yönetimi Korelasyon Yazılımı (SIEM) ve Siber Güvenlik Operasyonları (SOC) Hizmet Alımı;HAVAALANI İŞLETME VE HAVACILIK ENDÜSTRİLERİ ANONİM ŞİRKETİ (HEAŞ);İSTANBUL;Hizmet;uygun_degil;;;kacirma-seti-v1'den tasindi 30.07.2026: ISBAK'in bagimsiz siber guvenlik (SOC/CTI/sizma testi) isi yok - Kerem dogruladi;yanlis_alarm
e0b110a0f11839b816d766320b0767ce87e7e58e4f3d9cfae7df125a3c168c64;2026/188369;Siber Güvenlik Ürünleri Temini, SOC ve CTI İzleme ve Müdahale Hizmetleri Alımı;İGDAŞ İSTANBUL GAZ DAĞITIM SANAYİ VE TİCARET ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun_degil;;;kacirma-seti-v1'den tasindi 30.07.2026: ISBAK'in bagimsiz siber guvenlik (SOC/CTI/sizma testi) isi yok - Kerem dogruladi;yanlis_alarm
