tender_id;ikn;adi;idare_adi;il;ihale_turu;karar;ilgi_skoru;eslesen_paket;gerekce;set
fef146bdb163eee8de57aadf074c09481b1a2aaab198f8d18d53646bb828f268;2026/205409;Coğrafi Bilgi Sistemleri Web Tabanlı ve Mobil Otomasyon Uygulaması Hizmet Alım İşi;BEYKOZ BELEDİYE BAŞKANLIĞI - BİLGİ İŞLEM MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;belirsiz;0.35;Coğrafi Bilgi Sistemleri (CBS/GIS);CBS web/mobil otomasyon uygulaması İSBAK'ın CBS iş paketiyle örtüşüyor, fakat kapsamın ulaşım/trafik verisiyle mi yoksa belediyenin genel imar-altyapı verisiyle mi ilgili olduğu ilan metninden anlaşılmıyor.;final
210f03a9537e8ead7e9de829c3505990223a5e79e1f0138050d0cecdc3f216a4;2026/175332;Araç Takip ve Filo Yönetim Sistemi Mal Alımı;TRABZON BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI;TRABZON;Mal;uygun;0.7;Filo Yönetim Sistemleri;[v2 - gerçek ilan metniyle güncellendi] İlan metni ve resmi OKAS kodu (42961300 - Araç tespit sistemi) somut kapsamı doğruluyor: 400 adet araç takip cihazı (yazılım, montaj, operatör dahil) + 400 adet sürücü tanıma birimi, Trabzon Büyükşehir Belediyesi için. İlk etikette varsayılan 'ölçek küçük olabilir' şüphesi yanlış çıktı — bu büyükşehir ölçeğinde, İSBAK'ın Filo Yönetim Sistemleri paketiyle doğrudan örtüşen gerçek bir kurulum.;final
81ec2b9b53241fe57e8a032b9543760c6dc0fb676c69b5b22a6f67e3c2765ec9;2025/2226196;Belediyemize Bağlı Sosyal Tesislerde Kullanılmak Üzere Gıda Maddeleri, Süt ve Süt Ürünleri, Et ve Et Ürünleri Alınması İşi;MUSTAFAKEMALPAŞA BELEDİYE BAŞKANLIĞI - MUSTAFAKEMALPAŞA BELEDİYESİ TURİZM İKTİSADİ İŞLETMESİ;BURSA;Mal;uygun_degil;0.02;;"Gıda maddeleri, süt ve et ürünleri alımı; İSBAK'ın hiçbir iş paketiyle (trafik, ITS, EDS, aydınlatma, CBS vb.) ilgisi yok.";ayar
170be8b95fea8c86f921c26ee27c7f175b4c28f92e3d12dccf4d1e75d94f6234;2025/2300386;Zonguldak Çevre, Şehircilik ve İklim Değişikliği İl Müdürlüğü Araç Kiralama Hizmet Alımı (2 Araç Şoförlü / Yakıtsız) İşi;ZONGULDAK ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ BAKANLIĞI BAKAN YARDIMCILIKLARI;ZONGULDAK;Hizmet;uygun_degil;0.03;;"Genel amaçlı şoförlü/yakıtsız araç kiralama hizmeti; idari lojistik ihtiyacı, teknoloji/ulaşım sistemleri bileşeni yok.";ayar
464ca0b36faf64f5e0b4b9f810a0bb6d59c256d2831ccd8fe986516b194df092;2026/81887;2026 Yılı Yol Çizgi Boyası Mal Alım İşi;SULTANGAZİ BELEDİYESİ FEN İŞLERİ MÜDÜRLÜĞÜ;İSTANBUL;Mal;uygun_degil;0.15;;"Sadece yol çizgi boyası malzeme alımı; trafik ile yüzeysel bir ilişkisi var ama elektronik/akıllı sistem bileşeni içermiyor, İSBAK'ın 12 iş paketinin hiçbirine (özellikle sinyalizasyon/ITS/EDS'e) girmiyor — bu konu İSBAK'ın değil yol bakım biriminin işi.";ayar
8b56ab54617971e3e2fbbd31e2cd8da587945b839953f53e39bb7691fd85c7a3;2025/2074054;Belediyemiz sınırları içerisinde Muhtelif Mahallelerde bulunan Kaçak Yapıların Yıkılması İşi;AKDENİZ BELEDİYE BAŞKANLIĞI;MERSİN;Yapım;uygun_degil;0.02;;"Kaçak yapıların yıkılması işi; İSBAK'ın faaliyet alanıyla hiçbir ilgisi yok.";ayar
c796ab3e54a9dd4eb253c5b249059ba0c166c3492593745ead7671e528d79fd2;2025/2250618;ÇAMARDI BELEDİYES 2026 YILI AKARYAKIT ALIMI İHALESİ;FEN İŞLERİ MÜDÜRLÜĞÜ;NİĞDE;Mal;uygun_degil;0.02;;"Akaryakıt alımı; İSBAK'ın faaliyet alanıyla ilgisi yok.";final
f00ae6b38a5e2bbea58e2f2af371acd8ac3235f976ce47f8457bc6a981b5e2a9;2025/2225082;24 AYLIK MANYETİK REZONANS (MR) GÖRÜNTÜLEME VE RAPORLANDIRMA HİZMETİ;Devlet Hastanesi -Çine SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI;AYDIN;Hizmet;uygun_degil;0.02;;"""Görüntüleme"" kelimesi başlıkta geçse de bu tıbbi bir MR (manyetik rezonans) hizmeti; retrieval'ın salt kelime benzerliğiyle (görüntüleme sistemi) yanlış eşleştirmemesi gereken kasıtlı bir ""false positive"" tuzağı örneği.";final
25ed50b96fb2b7652176aa407d8c2029fcde4bb28981633ea6ad8da5c405583a;2026/463115;Dijital Dönüşüm ve Akıllı Şehir Yönetimi, Kurumsal Mobil Uygulama ve İş Zekası Yazılım Sistemi Alımı;TEKİRDAĞ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI;TEKİRDAĞ;Hizmet;belirsiz;0.5;Akıllı Şehir / Akıllı Kent Teknolojileri (Genel);"Dijital dönüşüm + akıllı şehir + kurumsal mobil uygulama + iş zekası yazılımını kapsayan geniş bir hizmet alımı; İSBAK'ın birden fazla paketiyle (akıllı şehir, mobil-web, veri analitiği) yüzeysel örtüşüyor ama ilan metninde 'Dijital Dönüşüm ve Akıllı Şehir Yönetimi... - 1 adet Hizmet Alımı' dışında somut kapsam detayı yok, gerçek içerik netleşmiyor.";ayar
558ece125dd4a1137e8421a88637b6bb502542247feca206ccafa2e066e3653f;2025/1798960;İSTON AŞ DİJİTAL DÖNÜŞÜM PROJESİ KURUMSAL KAYNAK PLANLAMA YAZILIMI (ERP) TEMİN VE KURULUMU İŞİ;İSTON İSTANBUL BETON ELEMANLARI VE HAZIR BETON FABRİKALARI SANAYİ VE TİCARET ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ;İSTANBUL;Mal;uygun_degil;0.2;;"ERP (Kurumsal Kaynak Planlama) yazılımı temini/kurulumu; bu genel muhasebe/kaynak-planlama yazılımı uzmanlığı, İSBAK'ın trafik/kamera/CBS/EDS/filo/siber güvenlik/YZ odaklı teknik alanlarından farklı bir yazılım disiplini (ERP entegratörlerinin işi) - sadece 'kurumsal yazılım' kelime düzeyinde örtüşüyor.";final
8af8ab933a5ac6ef038f4795be7a77aed251c53b7567f53e4e8f6c946fff57f5;2025/2103650;SAP ERP Kullanıcı Lisansı Destek;DARPHANE VE DAMGA MATBAASI GENEL MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun_degil;0.15;;"SAP ERP kullanıcı lisans desteği; sıradan bir ERP lisans/destek hizmeti, İSBAK'ın hiçbir teknik iş paketiyle gerçek örtüşmesi yok.";final
bb7282106c349aefef2c4562c149f3fa4eb382a8328af162d4f39c672f65a963;2025/2358769;MİLLİ EĞİTİM BAKANLIĞI COĞRAFİ BİLGİ SİSTEMİ (MEBCBS) YAZILIMININ YENİDEN YAZILMASI VE GELİŞTİRİLMESİ İŞİ;İNŞAAT VE EMLAK GENEL MÜDÜRLÜĞÜ MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI;ANKARA;Danışmanlık;belirsiz;0.45;Coğrafi Bilgi Sistemleri (CBS/GIS);"MEB'in kendi, mevcut CBS yazılımının (MEBCBS) yeniden yazılması için özel bir danışmanlık/yazılım geliştirme projesi; CBS/GIS tekniği İSBAK'ın alanında ama iş, ilgisiz bir bakanlığın kendine özel legacy sistemine aşinalık gerektiren bir danışmanlık - kapsam netleşmiyor.";final
3c4a87fef98d5f0208dffc8dd7941a453a35437c318df1302bba051b21fd6e71;2025/2327780;ERP Bakım ve Geliştirme Hizmeti;İSBAK İSTANBUL BİLİŞİM VE AKILLI KENT TEKNOLOJİLERİ ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun_degil;0.05;;İdare bizzat İSBAK'ın kendisi — İSBAK bu ihaleyi AÇAN taraf, teklif veren değil. Ayrıca konu genel ERP bakımı, teknik alanla da ilgisiz. Modelin 'idare İSBAK ise uygun_degil' kuralını gerçekten uygulayıp uygulamadığını test eden kritik bir örnek.;final
3813afba1ae86349447455dc756438582b137c8388561a214def76ca0724dc0d;2025/2301781;UYM Web Portalı Geliştirme ve Güncellenmesi;İSBAK İSTANBUL BİLİŞİM VE AKILLI KENT TEKNOLOJİLERİ ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun_degil;0.05;;İdare bizzat İSBAK'ın kendisi — İSBAK teklif veren değil ihaleyi açan taraf. Model bunu ilk denemede yanlışlıkla 'uygun' demişti (gerekçesinde hatalı şekilde 'ihale İSBAK tarafından açılmamıştır' iddia etmişti) — bu kuralın güvenilirliğini izlemek için kalıcı bir test örneği.;final
29d899c9c4a49e46e1db8cee0106f48d882cc8aab40a1ce407fa24cb963a8f97;2025/2398626;BİLİŞİM SİSTEMLERİ MODERNİZASYONU ALT YAPI ÜRÜNLERİ;KOCAELİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ;KOCAELİ;Mal;uygun;0.8;Yazılım, Veri ve Sistem Bütünleştirme;Kurum onayiyla düzeltildi: bu ihale İSBAK'a uygun kabul edildi (hyperconverge sunucu, YZ sunucusu, ağ güvenliği, yedekleme sistemi kurulumu - İSBAK'ın sistem bütünleştirme/altyapı kurulum yetkinliği kapsamında). Önceki 'jenerik BT donanımı' değerlendirmesi kurum tarafından geçersiz kılındı.;final
4d157308ffb988f9dcebd085bf3661a924a229a061dfead5d7611c285bbafa73;2025/2474239;TÜRASAŞ ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ YENİ LOKOMOTİF MONTAJ FABRİKASI YAPIM İŞİ;TÜRKİYE RAYLI SİSTEM ARAÇLARI SANAYİİ ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ SATIN ALMA DAİRE BAŞKANLIĞI;ANKARA;Yapım;uygun_degil;0.1;;"Yeni bir lokomotif montaj fabrikasının genel yapım işi (yapısal+mekanik+elektrik+altyapı+sinyalizasyon+bina içi ekipman); 'sinyalizasyon' listede geçse de bu dev bir genel inşaat/yapım sözleşmesinin küçük bir alt kalemi — İSBAK genel yapım/inşaat işi yapmaz, belirli teknoloji sistemleri kurar.";final
69a3c739a2e92ccaf12ce4a93dcc0c42afa06ae80e04a0e5c6e1064da24c629d;2026/309538;YAPAY ZEKA DESTEKLİ YAZILIM GELİŞTİRME PLATFORMU LİSANSI;İZMİR İNOVASYON VE TEKNOLOJİ ANONİM ŞİRKETİ;İZMİR;Mal;belirsiz;0.4;;"Sadece başlık var, ilan metni/OKAS neredeyse boş; 'yapay zeka destekli yazılım geliştirme platformu' bir kodlama/geliştirici aracı lisansı gibi duruyor ama İSBAK'ın somut iş alanlarından (trafik, kamera, CBS, EDS) hangisiyle ilgili olduğu hiç belli değil.";ayar
920f5698fcede0a3cb2c72b1560f5812e6ddc340d27ea59775890901ed2334c5;2026/121357;Sondaj ve Workover Kuleleri Kamera Sistemi Alımı;TURKISH PETROLEUM INTERNATIONAL ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ;ANKARA;Mal;belirsiz;0.3;Görüntüleme ve İzleme Sistemleri (Kamera/CCTV);"Petrol sondaj/workover kulelerine özel kamera sistemi; kamera teknolojisi İSBAK'ın alanına yüzeysel benziyor ama sahada (patlama riski, zorlu ortam) özel sertifikalı endüstriyel ekipman gerektiren, farklı bir uzmanlık alanı olabilir — net değil.";ayar
ebf86bf6a28348eeeb2058d824c195b56e27fd691f2fd115b886bc8755a32ced;2026/83623;Araca Monteli CCTV Kanal Görüntüleme Sistemi Alım İşi;Gaziantep Su ve Kanalizasyon İdaresi (GASKİ) Genel Müdürlüğü;GAZİANTEP;Mal;uygun_degil;0.2;;"Yağmursuyu/kanalizasyon HATLARININ İÇİNİ teftiş eden araca monteli kamera sistemi (boru içi teftiş - 'pipe crawler' teknolojisi); İSBAK'ın kentsel güvenlik/trafik CCTV'siyle sadece 'kamera' kelimesi düzeyinde örtüşüyor, teknik olarak tamamen farklı bir ekipman/uzmanlık.";final
dfa93d259375cf38556f63fdf1b2b985215b401904c2742a0d33da86db5d1471;2026/121539;Yapay Zeka Destekli Veri Analiz ve Orkestrasyon Platformu Satın Alımı ve KOSGEB Karar Destek Sistemi Geliştirilmesi Projesi;DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI DİĞER ÖZEL BÜTÇELİ KURULUŞLAR KÜÇÜK VE ORTA ÖLÇEKLİ İŞLETMELERİ GELİŞTİRME VE DESTEKLEME İDARESİ BAŞKANLIĞI;ANKARA;Hizmet;uygun_degil;0.2;;"KOSGEB'in (KOBİ destekleme kurumu) kendi iç karar destek platformu için özel bir YZ/veri analitiği projesi; MEB CBS ile aynı kategori - ilgisiz bir kurumun kendine özel iç sistemi, İSBAK'ın şehir/trafik odaklı veri analitiği alanıyla gerçek örtüşmesi yok.";final
8e5fb3ae8c48c586f0066794d1cecdd6ab8fb121415d70fe06c097150ba2eebd;2026/176550;TR10/25/YZT/0059 Proje Numaralı Yapay Zeka İle Kapsayıcı Sağlık Taramaları ve Entegrasyonu Projesi Kapsamında Yenidoğan Tarama ve Yapay Zeka Destekli Karar Sistemi, Palyatif Bakım Hasta Yakını ve Ruh Sağlığı Destek Yazılımları Hizmet Alımı İhalesi;SAĞLIK BAKANLIĞI - İSTANBUL İL SAĞLIK MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun_degil;0.05;;"Tamamen tıbbi/sağlık amaçlı yapay zeka yazılımları (yenidoğan taraması, ruh sağlığı desteği); 'yapay zeka' kelime düzeyinde örtüşse de İSBAK'ın görüntü işleme/YZ alanıyla (plaka tanıma, trafik analizi) hiçbir gerçek ilgisi yok - MR görüntüleme örneğiyle aynı tuzak türü.";final
f5fab92e828370f5a9c2c3690b882437a87a74aa9e3497c5f8310551caa308bb;2026/259210;Payas Stem Yapay Zeka Merkezine Atölye ve Laboratuvar Malzemeleri;PAYAS BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;HATAY;Mal;uygun_degil;0.1;;'Yapay Zeka Merkezi' bir eğitim tesisinin ADI - ihalenin gerçek konusu 175 kalem atölye/laboratuvar malzemesi (el aletleri, kablo, laboratuvar tezgahı vb.), YZ yazılımı/donanımı değil. İsim çakışmasından kaynaklanan bariz bir yanlış eşleşme örneği (OKAS kodları da tamamen genel malzeme/donanım).;final
6159c8523a46ce4a92a9c264f3e587789d6390a71034069e2fc429114cb35752;2026/146860;ZAYIF AKIM SİSTEMLERİ (ISDN TELEFON SANTRALİ, TV YAYIN SİSTEMİ, SES ANONS SİSTEMİ, CCTV ANALOG HD-IP GÜVENLİK KAMERA SİSTEMİ, HEMŞİRE ÇAĞRI SİSTEMLERİ) 1'ER AYLIK PERİYOTLA PERİYODİK BAKIM VE ONARIMI HİZMET ALIMI;ANTALYA İL SAĞLIK MÜDÜRLÜĞÜ ANTALYA ALANYA EĞİTİM VE ARAŞTIRMA HASTANESİ BAŞHEKİMLİĞİ;ANTALYA;Hizmet;uygun_degil;0.15;;"Bir hastanenin genel zayıf akım altyapısı bakımı (telefon santrali, TV yayını, anons sistemi, hemşire çağrı sistemi + CCTV); CCTV sadece uzun bir hastane tesis bakım listesinin bir kalemi, ihalenin bütünü genel bina bakım hizmeti - kamera odaklı bir proje değil.";final
10b4dcad69d50175d7172b987d4310ea802c48250d645084186413a642705eb7;2026/84065;Akıllı Acil Durum Müdahale Sistemi;İSTANBUL BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI AFET İŞLERİ VE RİSK YÖNETİMİ DAİRESİ BAŞKANLIĞI AFET KOORDİNASYON MERKEZİ ŞUBE MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;belirsiz;0.45;;"İBB'nin (İSBAK'ın bağlı olduğu kurum) afet koordinasyon merkezi için İHA/drone + fotogrametrik veri işleme yazılımı + endüstriyel donanım; teknik olarak İSBAK'ın YZ/görüntü işleme/veri yetkinliğine yakın ama 17 paketin hiçbirinde 'afet yönetimi' açıkça tanımlı değil - yeni, sınırda bir alan.";ayar
e530dde44acc61bb6722c6d772853263aede7abef04528b15440bbf2ec2d2ee3;2026/581178;Plaka Tanıma Sistemleri Yazılım Kurulum, Güncelleme ve Sistem Bakım Hizmeti Alımı;DENİZLİ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI ULAŞIM DAİRESİ BAŞKANLIĞI;DENİZLİ;Hizmet;uygun;0.85;Yapay Zeka ve Görüntü İşleme Yazılımları;"Bir ulaşım dairesi için plaka tanıma yazılımı kurulum/güncelleme/bakım hizmeti; 'plaka tanıma' İSBAK'ın Yapay Zeka ve Görüntü İşleme Yazılımları paketinde açıkça anahtar kelime olarak tanımlı, ulaşım dairesi bağlamı da net - güçlü, doğrudan bir eşleşme.";final
