tender_id;ikn;adi;idare_adi;il;ihale_turu;karar;kaynak;set
7e009d74bb593e7dbdf32311cdeedb88f311441ed36e23ccc67ac1c8170d467e;2026/215430;Kavşak Kontrol Cihazı İle Yedek Malzemeler ve Sinyalizasyon Malzemeleri Alımı;ADANA BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI SATIN ALMA DAİRESİ BAŞKANLIĞI;ADANA;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
553d5dd391864cb905b37f0a9044893cc08e35fe5d1afa0a3a932114432f36ba;2026/291682;"İstanbul Üniversitesi Özel Güvenlik ve Koruma Şube Müdürlüğünde Güvenlik Kamera Sistemi
Arızalarında Kullanılacak Malzemelerin Alımı İşi";İSTANBUL ÜNİVERSİTESİ REKTÖRLÜĞÜ İDARİ VE MALİ İŞLER DAİRE BAŞKANLIĞI;İSTANBUL;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
63d35f1eca8eed2c97dd7ad698e31b093babd3169af679192afa0d8970c427b3;2026/431474;Araç Kamera ve Görüntüleme Sistemleri;KUŞADASI BELEDİYESİ Bilgi İşlem Müdürlüğü;AYDIN;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
2e1616e6f1885909521d0f0d50fefac61c6f651957a2b4a0756101015b01e0a2;2026/326027;Mevcut CAD, GIS Yazılımlarının Güncellenmesi ve KBS Yazılımı alımı;Kırşehir Özel İdaresi Plan Proje Yatırım  ve İnşaat Müdürlüğü;KIRŞEHİR;Hizmet;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
443fea9b7db3c59edcf9978234da70d529e66fb98e3ded251cfc44b31666ba37;2026/378206;Coğrafi Bilgi Sistemi (CBS) Yazılım Lisansı ve İlgili Hizmetlerin Alınması İşi;HATAY SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ BİLGİ İŞLEM DAİRESİ BAŞKANLIĞI;HATAY;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
23ed107c7a9caf94d853e6049a5f1e85bc1ca09cf5f006975bbd7fb2aced0f3d;2026/486242;BELEDİYEMİZ HİZMETLERİNDE KULLANILAN ARAÇLARA ARAÇ TAKİP SİSTEMİ KURULUMU,ŞOFÖR KART TANIMA SİSTEMİ, KAMERA TAKILMASI VE ABONELİK HİZMETİ ALIMI;ULAŞIM HİZMETLERİ MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
17c5888aaf9962f9f7293b200ae6cec5930f06ba2d4b4b32755a47da71c43a07;2026/401026;SİNYALİZASYON MALZEMELERİ ALIM İŞİ;SAKARYA BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI YOL YAPIM, BAKIM VE ONARIM DAİRESİ BAŞKANLIĞI;SAKARYA;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
02526cface874bbc56e503a582b2144c1c9923e0688f04d341151027fe20c922;2026/473699;YAPAY ZEKA DESTEKLİ KAMERALI SÜRÜCÜ TANIMA ÖZELLİKLİ VE YAKIT SENSÖRLÜ ARAÇ TAKİP SİSTEMLERİNİN TEDARİKİ MONTAJI KURULUMU VE YAZILIMI ALIMI İŞİ;NİĞDE BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;NİĞDE;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
99cd8d8bb9b0ff51f1b12b61426ad15cd46115cb60d5dd116d313897928ecafb;2026/564144;KAPALI DEVRE KAMERA SİSTEMİ(CCTV)  KURULMASI YAPIM İŞİ;TÜRKİYE ŞEKER FABRİKALARI ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ ELAZIĞ ŞEKER FABRİKASI MÜDÜRLÜĞÜ;ELAZIĞ;Yapım;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
d413ebd174edd1ffb91d5db1ad83c8b7420b2813e72dbc9a51e7c4b8417a3800;2026/512747;Toplu Taşıma Otomasyonu, Dinamik Veri Tabanı ve Yönetimi Sistemi, Engelliler İçin Ulaşım Uygulaması, Toplu Taşıma Sürücü Mobil Uygulaması Sistemi Alımı İşi;ADANA BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI SATIN ALMA DAİRESİ BAŞKANLIĞI;ADANA;Hizmet;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
d91a6920c400badc49a9259cbc5fe02256ed2566a35e1f6597b8733e3788fda0;2026/597536;Trafik Güvenliğinin Sağlanması Amacıyla Karayolları 9 Bölge Müdürlüğü Sınırlarındaki Yollarda Mevcut Sinyalizasyon Sistemlerinin Bakım-Onarımı, Yeni Kavşaklara Sinyalizasyon Sistemi Kurulması ve Ulaşım Etüt İşlerinin Yapılması İşi;KARAYOLLARI GENEL MÜDÜRLÜĞÜ KARAYOLLARI 9. BÖLGE MÜDÜRLÜĞÜ;DİYARBAKIR;Yapım;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
48ea5e7fec2ef123fb299989099a893d7a654e1c4dab809976a864d0a748f0c1;2026/548932;Trafik Güvenliğinin Sağlanması Amacıyla Yeni Nesil Kavşaklara Sinyalizasyon Sistemi Kurulması Yapım İşi;KARAYOLLARI GENEL MÜDÜRLÜĞÜ KARAYOLLARI 9. BÖLGE MÜDÜRLÜĞÜ;DİYARBAKIR;Yapım;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
12686f14915731baeac1b61504b10ebae26c850ece036aaa151caff41603ed9c;2026/726351;Karayolları 6 Bölge Müdürlüğü Yol Ağındaki Muhtelif Kavşaklara Standart Sinyalizasyon Sistemi Yapılması ve Yerine Montajı;KARAYOLLARI GENEL MÜDÜRLÜĞÜ KARAYOLLARI 6. BÖLGE MÜDÜRLÜĞÜ;KAYSERİ;Yapım;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
cf970b15107b5ca8a345df55473ed58721156c3bc659528dbf7ca6d26973a82a;2026/599289;CCTV Sistemi, Kartlı Geçiş Sistemi, Plaka Tanıma Sistemi Ve Diğer Elektronik Güvenlik Sistemlerinin (Turnike, Bariyer, Roadbloker, X-Ray Cihazı) Periyodik Parçasız Bakım Onarımı, Kapasite Artırımı ve Destek Hizmeti Temini;TÜRKİYE ELEKTRİK DAĞITIM ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ;ANKARA;Hizmet;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
9f93820bd8356ec43f657a9eb5586ae39d955c4980470c43589fac82320c55ce;2026/957410;Sinyalizasyon Malzemeleri  ve Araç Yoğunluğunu Baz Alan Yapay Zeka Destekli Dinamik Kavşak Yönetim Sistemi Alımı;ULAŞIM HİZMETLERİ MÜDÜRLÜĞÜ;AKSARAY;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
6b9c1932c78742a61160828e6bbe1dac1b9a3b46692d4446cbbeba1e833c1985;2026/1015961;EDS(ELEKTRONİK DENETLEME SİSTEMİ) MALZEME ALIMI VE MONTAJI İŞİ;BELEN BELEDİYE BAŞKANLIĞI FEN İŞLERİ MÜDÜRLÜĞÜ;HATAY;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
4bcccd62b26bded6273174a9e59877670254e34701c6ba50b4d003b30af5ef85;2026/1207599;TEŞVİKİYE BELEDİYESİ AKILLI ŞEHİR TEKNOLOJİLERİ HİZMET ALIM İŞİ;TEŞVİKİYE BELEDİYE BAŞKANLIĞI FEN İŞLERİ MÜDÜRLÜĞÜ;YALOVA;Hizmet;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
a8f6ddd5a0d87866c0f30bd32c778e2be5aa46424effc91cfb9d8244cee67509;2026/1202725;Terminaller ve Hizmet Binaları Güvenlik Kamera Sistemi ve Fiber Optik Alt Yapı Donanımları Alımı;KOCAELİ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI İHALE İŞLERİ ŞUBE MÜDÜRLÜĞÜ;KOCAELİ;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
c761834f91d3ea5987f1edbdde1ef1e646f24cbb1e9a300b9b1e62d5026b517f;2025/2140488;YAPAY ZEKA DESTEKLİ KAMERALI SÜRÜCÜ TANIMA ÖZELLİKLİ VE YAKIT SENSÖRLÜ ARAÇ TAKİP SİSTEMLERİNİN TEDARİKİ MONTAJI KURULUMU VE YAZILIMI ALIMI İŞİ(MONTAJ DAHİL);NİĞDE BELEDİYESİ DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;NİĞDE;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
dd4ef3fe9400f0f39752321bf1ac2e9aa05eafd4713c38e3a52d85c7bad35212;2025/2482797;GÜVENLİK KAMERA SİSTEMİ MALZEME ALIMI;KIRKLARELİ BELEDİYESİ;KIRKLARELİ;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
